name,outdir,n_trajectories,helpfulness_score_mean,trustfulness_score_mean,empathy_score_mean,overall_score_mean,helpfulness_violation_count_sum_mean,trustfulness_violation_count_sum_mean,empathy_violation_count_sum_mean,helpfulness_n_windows_mean,trustfulness_n_windows_mean,empathy_n_windows_mean,helpfulness_max_window_score_gap_mean,trustfulness_max_window_score_gap_mean,empathy_max_window_score_gap_mean,agent_send_message_ratio_env_mean,agent_send_message_ratio_llm_mean,msg_penalty_mean,model_output_tokens_mean_mean,model_output_tokens_std_mean,model_output_tokens_n_calls_mean,agent_env_steps_mean,total_env_steps_mean,agent_llm_calls_mean,a,b,a_helpfulness,b_helpfulness,a_trustfulness,b_trustfulness,a_empathy,b_empathy
out_cwah-0-agent-1-human_qwen7brl,COLLABBENCH_ROOT/evaluation/out_cwah-0-agent-1-human_qwen7brl,300,0.7413172475672479,2.5740835645835642,2.8768559218559204,2.064085578002245,8.513333333333334,3.6166666666666667,2.85,4.616666666666666,4.616666666666666,4.616666666666666,2.5966666666666667,1.7133333333333334,1.55,0.24354657687990833,0.17475978996058386,0.0,233.719068193524,33.93131824662995,13.906666666666666,66.22333333333333,66.22333333333333,14.85,1.0,1.0,,,,,,
out_cwah-0-agent-1-human_qwen7brl_initpe,COLLABBENCH_ROOT/evaluation/out_cwah-0-agent-1-human_qwen7brl_initpe,300,0.6617762104884637,2.4510711312918465,2.5037612410020986,1.8722028609274697,5.12,1.99,1.9733333333333334,3.006666666666667,3.006666666666667,3.006666666666667,2.2466666666666666,1.27,1.3033333333333332,0.018284574468085072,0.009979594648458743,0.688002350933971,201.08267765004732,41.024300451117234,9.25,54.32666666666667,54.32666666666667,10.026666666666667,1.0,1.0,,,,,,
out_cwah-0-agent-1-human_qwen7brl_task,COLLABBENCH_ROOT/evaluation/out_cwah-0-agent-1-human_qwen7brl_task,300,0.7547918175741173,2.5420064848590025,2.4321428762440536,1.909647059559054,5.426666666666667,2.4066666666666667,2.3566666666666665,3.0933333333333333,3.0933333333333333,3.0933333333333333,2.35,1.4066666666666667,1.54,0.047898338220918685,0.018113536918776128,0.3721731393355014,162.47295921739084,20.91945981917461,9.53,56.516666666666666,56.516666666666666,10.23,1.0,1.0,,,,,,
out_cwah-0-human-1-agent_deepseekduida,COLLABBENCH_ROOT/evaluation/out_cwah-0-human-1-agent_deepseekduida,300,1.841270036006878,3.1661463799358547,2.8615580087553756,2.6229914748993677,6.933333333333334,2.8633333333333333,3.8633333333333333,6.56,6.56,6.56,2.216666666666667,1.4466666666666668,1.6066666666666667,0.4595464050184997,0.4201258029542405,0.0,415.79395944147035,98.33171649977115,20.016666666666666,62.71,62.71,20.723333333333333,1.0,1.0,,,,,,
out_cwah-0-human-1-agent_gpt,COLLABBENCH_ROOT/evaluation/out_cwah-0-human-1-agent_gpt,300,2.4665652033152035,3.701102517852518,2.9670415972915962,3.0449031061531047,4.38,1.6233333333333333,3.4266666666666667,5.963333333333333,5.963333333333333,5.963333333333333,1.89,1.06,1.5233333333333334,0.4023029229406575,0.3677406772304865,0.0,205.5708701338817,31.20956726276062,18.423333333333332,59.83,59.83,18.816666666666666,1.0,1.0,,,,,,
out_cwah-0-human-1-agent_qwen3,COLLABBENCH_ROOT/evaluation/out_cwah-0-human-1-agent_qwen3,300,0.160499518999519,1.3559779849779854,1.3462941872941874,0.954257230423897,14.23,7.756666666666667,7.523333333333333,6.3133333333333335,6.3133333333333335,6.3133333333333335,3.51,2.6,2.82,0.34873060648800663,0.25946858474413487,0.0,1204.0166057474987,741.5847075035873,5.62,80.83333333333333,80.83333333333333,18.906666666666666,1.0,1.0,,,,,,
out_cwah-0-human-1-agent_qwen3_pe,COLLABBENCH_ROOT/evaluation/out_cwah-0-human-1-agent_qwen3_pe,300,0.05934920634920633,0.8283882876382875,0.6258465608465605,0.5045280182780187,15.733333333333333,8.123333333333333,8.886666666666667,5.873333333333333,5.873333333333333,5.873333333333333,4.336666666666667,3.36,3.776666666666667,0.36168291802094055,0.305202892835344,0.0,962.3619315133411,775.2470686868053,2.43,79.31,79.31,18.46,1.0,1.0,,,,,,
out_cwah-0-human-1-agent_qwen3rl,COLLABBENCH_ROOT/evaluation/out_cwah-0-human-1-agent_qwen3rl,300,0.49215884115884145,2.146045207412327,2.214563685416451,1.61758924466254,14.603333333333333,6.283333333333333,5.63,7.453333333333333,7.453333333333333,7.453333333333333,2.87,2.06,2.0533333333333332,0.5227305116146497,0.4656826108897611,0.0,1435.1213085354573,583.1463176578893,22.55666666666667,65.17666666666666,65.17666666666666,23.39,1.0,1.0,,,,,,
out_cwah-0-human-1-agent_qwen3rl_initpe,COLLABBENCH_ROOT/evaluation/out_cwah-0-human-1-agent_qwen3rl_initpe,300,1.6257328134828135,3.0166557794057787,2.7689237891737886,2.470437460687462,7.14,3.33,4.283333333333333,5.6,5.6,5.6,2.26,1.48,1.61,0.30121608980355374,0.23111912665470755,0.0,1998.290294764295,835.7022297021409,17.123333333333335,63.07666666666667,63.07666666666667,17.816666666666666,1.0,1.0,,,,,,
out_cwah-0-human-1-agent_qwen3rl_task,COLLABBENCH_ROOT/evaluation/out_cwah-0-human-1-agent_qwen3rl_task,300,1.0692249787249783,2.777764395144796,2.752157120065998,2.199715497978593,9.993333333333334,3.9466666666666668,4.1466666666666665,5.71,5.71,5.71,2.5233333333333334,1.6433333333333333,1.64,0.3577355707173175,0.22872122238875345,0.0,1394.6355883102376,716.0359342891127,17.206666666666667,62.43666666666667,62.43666666666667,18.076666666666668,1.0,1.0,,,,,,
out_cwah-0-human-1-agent_qwen72b,COLLABBENCH_ROOT/evaluation/out_cwah-0-human-1-agent_qwen72b,300,1.9100851879601888,3.3040044122544128,2.9950183427683426,2.736369314327647,6.53,2.7266666666666666,3.84,5.716666666666667,5.716666666666667,5.716666666666667,2.0866666666666664,1.3033333333333332,1.4633333333333334,0.25786279198087014,0.19915178753001905,0.0,286.6963595752389,46.52505808688011,17.553333333333335,64.54333333333334,64.54333333333334,18.123333333333335,1.0,1.0,,,,,,
out_cwah-0-human-1-agent_qwen7b,COLLABBENCH_ROOT/evaluation/out_cwah-0-human-1-agent_qwen7b,300,0.3126348373848373,1.5533979003452683,1.5862173350528614,1.1507500242609892,14.783333333333333,8.586666666666666,8.32,7.15,7.15,7.15,2.9166666666666665,2.3033333333333332,2.36,0.43710084657656145,0.3824815251726602,0.0,236.78719709635834,44.29277537703357,22.003333333333334,84.92,84.92,22.44333333333333,1.0,1.0,,,,,,
out_cwah-0-human-1-agent_qwen7b_pe,COLLABBENCH_ROOT/evaluation/out_cwah-0-human-1-agent_qwen7b_pe,300,0.7033995911495913,2.203026769526769,2.381573213823214,1.7626665248331914,10.533333333333333,5.01,4.583333333333333,5.886666666666667,5.886666666666667,5.886666666666667,2.6933333333333334,2.03,1.91,0.2685102586975923,0.22223883174699774,0.0,176.91068730052126,30.654847420394667,18.253333333333334,81.25666666666666,81.25666666666666,18.683333333333334,1.0,1.0,,,,,,
out_cwah-0-human-1-agent_qwen7brl,COLLABBENCH_ROOT/evaluation/out_cwah-0-human-1-agent_qwen7brl,300,0.752873015873016,2.5439063863977665,2.6059766711577055,1.9675853578094966,7.9366666666666665,3.68,3.09,4.193333333333333,4.193333333333333,4.193333333333333,2.5866666666666664,1.7066666666666668,1.75,0.20029491275497358,0.14371977925992513,0.0,228.27206526105118,30.39250340761741,12.486666666666666,61.516666666666666,61.516666666666666,13.563333333333333,1.0,1.0,,,,,,
out_cwah-0-human-1-agent_qwen7brl_initpe,COLLABBENCH_ROOT/evaluation/out_cwah-0-human-1-agent_qwen7brl_initpe,300,0.629141471070024,2.325887799141532,2.450983846016585,1.8020043720760421,5.28,2.3133333333333335,2.17,2.8633333333333333,2.8633333333333333,2.8633333333333333,2.3633333333333333,1.4633333333333334,1.4866666666666666,0.033031988873435565,0.013641261384620016,0.50750032419333,199.30608403524576,39.28847843010593,8.79,55.376666666666665,55.376666666666665,9.586666666666666,1.0,1.0,,,,,,
out_cwah-0-human-1-agent_qwen7brl_task,COLLABBENCH_ROOT/evaluation/out_cwah-0-human-1-agent_qwen7brl_task,300,0.49175205043238873,2.053110934991198,1.8872578595856926,1.4773736150030974,5.056666666666667,2.46,2.49,2.75,2.75,2.75,2.4,1.4866666666666666,1.69,0.017747193045998033,0.005457792207792207,0.6956382272238469,162.38786419015776,21.470460830391936,8.47,54.4,54.4,9.203333333333333,1.0,1.0,,,,,,
